year,title,doi,eid
2026,Deep Unfolding of Iterative Precoding-Based Null-Space Expansion for Multi-User Massive MIMO in Time-Varying Channel,10.1109/TCOMM.2025.3642692,
2026,Resource Allocation Schemes for Scalable Panel-Based LIS Surfaces,10.1109/OJVT.2026.3652908,
2026,Towards Incorporating mmWave Beam Tracking for Connected Autonomous Vehicles,10.1109/ACCESS.2026.3667877,
2025,On Deep Learning Hybrid Architectures for MIMO-OFDM Channel Estimation,10.3390/electronics14234692,
2025,On Deep Learning Hybrid Architectures for MIMO-OFDM Channel Estimation,10.3390/electronics14234692,
2025,On Deep Learning Hybrid Architectures for MIMO-OFDM Channel Estimation,10.3390/electronics14234692,2-s2.0-105024537957
2025,Data-Oriented Channel Knowledge Map IoT Transmission Under Hardware Impairments,10.1109/VTC2025-Spring65109.2025.11174660,2-s2.0-105019047127
2025,Newmann Series-Based Precoding Weight Design for Multi-User Massive MIMO Null-Space Expansion,10.1109/VTC2025-Spring65109.2025.11174837,2-s2.0-105019051188
2025,Genetic Resource Allocation Algorithm for Panel-Based Large Intelligent Surfaces,10.3390/electronics14153107,
2025,Genetic Resource Allocation Algorithm for Panel-Based Large Intelligent Surfaces,10.3390/electronics14153107,
2025,Position Accuracy and Distributed Beamforming Performance in WSNs: A Simulation Study,10.3390/fi17060236,
2025,Position Accuracy and Distributed Beamforming Performance in WSNs: A Simulation Study,10.3390/fi17060236,
2025,Neural-Network-Based Interference Cancellation for MRC and EGC Receivers in Large Intelligent Surfaces for 6G,10.3390/electronics14102083,
2025,Neural-Network-Based Interference Cancellation for MRC and EGC Receivers in Large Intelligent Surfaces for 6G,10.3390/electronics14102083,
2025,Neural-Network-Based Interference Cancellation for MRC and EGC Receivers in Large Intelligent Surfaces for 6G,10.3390/electronics14102083,2-s2.0-105006664111
2025,Neural Network-Based Interference Cancellation for MRC and EGC Receivers in Large Intelligent Surfaces for 6G,10.20944/preprints202504.1155.v1,
,Neural Network-Based Interference Cancellation for MRC and EGC Receivers in Large Intelligent Surfaces for 6G,10.20944/preprints202504.1155.v1,
2025,"Improved Low-Complexity, Pilot-Based Channel Estimation for Large Intelligent Surface Systems",10.3390/app15073743,
2025,"Improved Low-Complexity, Pilot-Based Channel Estimation for Large Intelligent Surface Systems",10.3390/app15073743,
2025,"Improved Low-Complexity, Pilot-Based Channel Estimation for Large Intelligent Surface Systems",10.3390/app15073743,2-s2.0-105002277915
2025,A Low Complexity Linear Precoding Method for Extremely Large-Scale MIMO Systems,10.1109/OJVT.2024.3514749,
2025,A Low Complexity Linear Precoding Method for Extremely Large-Scale MIMO Systems,10.1109/OJVT.2024.3514749,2-s2.0-85212063674
2024,A Low Complexity Linear Precoding Method for Extremely Large-Scale MIMO Systems,10.1109/OJVT.2024.3514749,2-s2.0-85212063674
2025,"A Survey on Positioning for mmWave Distributed MIMO Systems: Challenges, Solution Techniques, and Applications",10.1109/ACCESS.2025.3638143,
2025,Cell-Free Multi-Eavesdropper Detection Strategy Using Physical Layer Security,10.1109/WCNC61545.2025.10978686,2-s2.0-105006411227
2025,Deep Unfolding of Richardson Iteration for Multi-User Massive MIMO Null-Space Expansion,10.1109/ICUFN65838.2025.11169900,2-s2.0-105018740271
2025,DoA Estimation and Kalman Filter Based Multi-Antenna System for Vehicle Position in mmWave Network,10.1109/OJVT.2025.3608747,
2025,Joint Channel and Nonlinearity Estimation for Memoryless Nonlinear Systems,10.1109/ACCESS.2025.3530817,
2025,Joint Channel and Nonlinearity Estimation for Memoryless Nonlinear Systems,10.1109/ACCESS.2025.3530817,
2025,Joint Channel and Nonlinearity Estimation for Memoryless Nonlinear Systems,10.1109/ACCESS.2025.3530817,2-s2.0-85216002503
2025,Multi-Eavesdropper Detection Through PHY-Aware Cell-Free AP Selection,10.1109/ACCESS.2025.3598502,
2025,Multi-Eavesdropper Detection Through PHY-Aware Cell-Free AP Selection,10.1109/ACCESS.2025.3598502,2-s2.0-105013310122
2025,Nonlinear Massive MIMO–RSMA With Multilinear GSVD Precoding: Signal Characterization and Receiver Design,10.1109/ACCESS.2025.3638959,
2025,On the Optimum Detection of MIMO-SVD Signals With Strong Nonlinear Distortion Effects at the Transmitter,10.1109/ACCESS.2024.3521513,
2025,On the Optimum Detection of MIMO-SVD Signals With Strong Nonlinear Distortion Effects at the Transmitter,10.1109/ACCESS.2024.3521513,
2024,On the Optimum Detection of MIMO-SVD Signals With Strong Nonlinear Distortion Effects at the Transmitter,10.1109/ACCESS.2024.3521513,2-s2.0-85213240789
2025,OTFS Based RIS-Assisted Vehicle Positioning and Tracking in V2X Scenario,10.1109/TCOMM.2025.3588559,
2025,Quasi-Optimum Detection for a Wide Class of Digital Signals With Strong Nonlinear Distortion Effects,10.1109/OJVT.2025.3619421,
2025,Quasi-Optimum Detection for a Wide Class of Digital Signals With Strong Nonlinear Distortion Effects,10.1109/OJVT.2025.3619421,2-s2.0-105018216080
2025,Sequential Hybrid Beamforming for Radio Stripes,10.1109/ACCESS.2025.3571771,
2025,Streamlined Swift Allocation Strategies for Sequential Fronthaul Cell-Free Massive MIMO,10.1109/ACCESS.2025.3634131,
2024,Hybrid VLC Systems with Terahertz Communication,10.1109/VTC2024-Fall63153.2024.10757556,2-s2.0-85213014200
2024,LSTM-Based Trajectory and Phase-Shift Prediction for RSMA Networks Assisted by AIRS,10.1109/TCOMM.2024.3407192,2-s2.0-85194882965
2024,LSTM-Based Trajectory and Phase-Shift Prediction for RSMA Networks Assisted by AIRS,10.1109/TCOMM.2024.3407192,2-s2.0-85194882965
2024,LSTM-Based Trajectory and Phase-Shift Prediction for RSMA Networks Assisted by AIRS,10.1109/TCOMM.2024.3407192,
2024,Optimized Beamforming Design for PLS in Near-Field Uplink Communications,10.1109/VTC2024-Spring62846.2024.10683068,2-s2.0-85206151290
2024,Quasi-Optimum Detection of MIMO-SVD Signals with Strong Nonlinear Distortion Effects,10.1109/VTC2024-Spring62846.2024.10683403,2-s2.0-85206198804
2024,Hybrid Equalization for mmWave Cell-Free Radio Stripes-Based Systems,10.1109/CSNDSP60683.2024.10636409,2-s2.0-85203677977
2024,Unified Theoretical Analysis of Nonlinear Multicarrier Schemes,10.1201/9781032708744,2-s2.0-85207204214
2024,Receiver Design for OFDM Signals with Strong Nonlinear Distortion Effects,10.1109/ICC51166.2024.10622843,2-s2.0-85202845472
2024,Deep Learning-based Channel Prediction for Wireless Physical Layer Security,10.1109/MeditCom61057.2024.10621220,2-s2.0-85202342972
2024,A Low Complexity Iterative SC-FDE Receiver for Massive MIMO Systems,10.1109/TVT.2024.3381559,
2024,A Low Complexity Iterative SC-FDE Receiver for Massive MIMO Systems,10.1109/TVT.2024.3381559,2-s2.0-85189315462
2024,A Low Complexity Iterative SC-FDE Receiver for Massive MIMO Systems,10.1109/TVT.2024.3381559,2-s2.0-85189315462
2024,Survey on Resource Allocation for Future 6G Network Architectures: Cell-Free and Radio Stripe Technologies,10.3390/electronics13132489,
2024,Survey on Resource Allocation for Future 6G Network Architectures: Cell-Free and Radio Stripe Technologies,10.3390/electronics13132489,
2024,Survey on Resource Allocation for Future 6G Network Architectures: Cell-Free and Radio Stripe Technologies,10.3390/electronics13132489,2-s2.0-85198437756
2024,Survey on Resource Allocation for Future 6G Network Architectures,10.3390/electronics13132489,2-s2.0-85198437756
2024,An Assessment of Receiver Algorithms for Distributed Massive MIMO Systems,10.3390/electronics13081560,2-s2.0-85191407874
2024,An Assessment of Receiver Algorithms for Distributed Massive MIMO Systems,10.3390/electronics13081560,2-s2.0-85191407874
2024,An Assessment of Receiver Algorithms for Distributed Massive MIMO Systems: Investigating Design Solutions and Performance,10.3390/electronics13081560,
2024,An Assessment of Receiver Algorithms for Distributed Massive MIMO Systems: Investigating Design Solutions and Performance,10.3390/electronics13081560,
2024,On the Performance of Partial LIS for 6G Systems,10.3390/electronics13061035,2-s2.0-85188784013
2024,On the Performance of Partial LIS for 6G Systems,10.3390/electronics13061035,2-s2.0-85188784013
2024,On the Performance of Partial LIS for 6G Systems,10.3390/electronics13061035,
2024,On the Performance of Partial LIS for 6G Systems,10.3390/electronics13061035,
2024,On the Use of Near-Field Constellation Focusing for Physical Layer Security with Extremely Large Antenna Arrays,10.3390/electronics13050869,2-s2.0-85187903339
2024,On the Use of Near-Field Constellation Focusing for Physical Layer Security with Extremely Large Antenna Arrays,10.3390/electronics13050869,
2024,On the Use of Near-Field Constellation Focusing for Physical Layer Security with Extremely Large Antenna Arrays,10.3390/electronics13050869,
2024,On the Use of Near-Field Constellation Focusing for Physical Layer Security with Extremely Large Antenna Arrays,10.3390/electronics13050869,2-s2.0-85187903339
2024,Nonlinear Effects in NOMA Systems Using Single Carrier Modulations,10.1109/ACCESS.2024.3369030,2-s2.0-85186090608
2024,Nonlinear Effects in NOMA Systems Using Single Carrier Modulations: Performance Evaluation and Receiver Design,10.1109/ACCESS.2024.3369030,
2024,Nonlinear Effects in NOMA Systems Using Single Carrier Modulations: Performance Evaluation and Receiver Design,10.1109/ACCESS.2024.3369030,2-s2.0-85186090608
2024,Deep Attention Recognition for Attack Identification in 5G UAV Scenarios: Novel Architecture and End-to-End Evaluation,10.1109/TVT.2023.3302814,
2024,Deep Attention Recognition for Attack Identification in 5G UAV Scenarios: Novel Architecture and End-to-End Evaluation,10.1109/TVT.2023.3302814,
2024,A Hybrid Approach to Reliable Jamming Identification in UAV Communications Using Combined DNNs and ML Algorithms,10.1109/ACCESS.2024.3504729,
2024,A Hybrid Approach to Reliable Jamming Identification in UAV Communications Using Combined DNNs and ML Algorithms,10.1109/ACCESS.2024.3504729,2-s2.0-85210285419
2024,A Hybrid Approach to Reliable Jamming Identification in UAV Communications Using Combined DNNs and ML Algorithms,10.1109/ACCESS.2024.3504729,2-s2.0-85210285419
2024,Active Intelligent Surfaces for Next Generation Radio Systems,10.1109/CSNDSP60683.2024.10636368,2-s2.0-85198414885
2024,Data-Oriented Analysis of Uplink Transmission in Massive IoT System With Limited Channel Information,10.1109/OJVT.2024.3420224,
2024,Data-Oriented Analysis of Uplink Transmission in Massive IoT System With Limited Channel Information,10.1109/OJVT.2024.3420224,2-s2.0-85197034002
2024,Data-Oriented Analysis of Uplink Transmission in Massive IoT System With Limited Channel Information,10.1109/OJVT.2024.3420224,2-s2.0-85197034002
2024,Joint Spectral and Power Efficiency Optimization in Uplink Radio Stripes,10.1109/TCOMM.2024.3382327,2-s2.0-85189295378
2024,Joint Spectral and Power Efficiency Optimization in Uplink Radio Stripes,10.1109/TCOMM.2024.3382327,2-s2.0-85189295378
2024,Joint Spectral and Power Efficiency Optimization in Uplink Radio Stripes,10.1109/TCOMM.2024.3382327,
2024,Nonlinearity-Aided Hybrid ARQ for Satellite Communications,10.1109/VTC2024-Fall63153.2024.10757736,2-s2.0-85213022175
2024,Physical Layer Security With Near-Field Beamforming,10.1109/ACCESS.2023.3344654,
2024,Physical Layer Security With Near-Field Beamforming,10.1109/ACCESS.2023.3344654,
2024,Quantized Digital Amplification Physical Layer Security Schemes,10.1007/978-3-031-63851-0_14,
2024,Quantized Digital Amplification Physical Layer Security Schemes,10.1007/978-3-031-63851-0_14,2-s2.0-85199641120
2024,Quantized Digital Amplification Physical Layer Security Schemes,10.1007/978-3-031-63851-0_14,2-s2.0-85199641120
2024,Quasi-Optimum Detection of Nonlinear OFDM: Performance Bounds and Receiver Design,10.1109/tcomm.2024.3439433,
2025,Quasi-Optimum Detection of Nonlinear OFDM: Performance Bounds and Receiver Design,10.1109/TCOMM.2024.3439433,
2025,Quasi-Optimum Detection of Nonlinear OFDM,10.1109/TCOMM.2024.3439433,2-s2.0-85200823520
2024,Quasi-Optimum Detection of Nonlinear OFDM: Performance Bounds and Receiver Design,10.1109/tcomm.2024.3439433,
2024,Receiver Design for OFDM Schemes With Low-Resolution ADCs,10.1109/OJVT.2024.3390204,
2024,Receiver Design for OFDM Schemes With Low-Resolution ADCs,10.1109/OJVT.2024.3390204,
2024,Receiver Design for OFDM Schemes With Low-Resolution ADCs,10.1109/OJVT.2024.3390204,
2024,Trajectory Design for RSMA Networks Assisted by AIRS with LSTM and Transformers,10.1109/ISWCS61526.2024.10639128,2-s2.0-85203425660
2023,Optimum Performance Analysis and Receiver Design for OFDM-Based Frequency-Splitting SWIPT With Strong Nonlinear Effects,10.1109/JIOT.2023.3284350,
2023,Optimum Performance Analysis and Receiver Design for OFDM-Based Frequency-Splitting SWIPT With Strong Nonlinear Effects,10.1109/JIOT.2023.3284350,2-s2.0-85162678986
2023,Optimum Performance Analysis and Receiver Design for OFDM-Based Frequency-Splitting SWIPT With Strong Nonlinear Effects,10.1109/JIOT.2023.3284350,2-s2.0-85162678986
2023,Joint Decoding and UE-APs Association for Scalable Cell-Free Systems,10.1109/TCOMM.2023.3310533,
2023,Joint Decoding and UE-APs Association for Scalable Cell-Free Systems,10.1109/TCOMM.2023.3310533,2-s2.0-85170536959
2023,Joint Decoding and UE-APs Association for Scalable Cell-Free Systems,10.1109/TCOMM.2023.3310533,2-s2.0-85170536959
2023,"Corrections to “On the Achievable Performance of Nonlinear MIMO Systems"" (vol 23, pg 1725, 2019)",10.1109/LCOMM.2023.3320988,2-s2.0-85181495910
2023,Corrections to “On the Achievable Performance of Nonlinear MIMO Systems”,10.1109/LCOMM.2023.3320988,
2023,Corrections to “On the Achievable Performance of Nonlinear MIMO Systems”,10.1109/LCOMM.2023.3320988,2-s2.0-85181495910
2023,Impact and compensation of carrier synchronization errors in OFDM signals with very large QAM constellations,10.1049/cmu2.12615,2-s2.0-85152473900
2023,Impact and compensation of carrier synchronization errors in OFDM signals with very large QAM constellations,10.1049/cmu2.12615,2-s2.0-85152473900
2023,On the Performance of LDPC-Coded Large Intelligent Antenna System,10.3390/app13084738,
2023,On the Performance of LDPC-Coded Large Intelligent Antenna System,10.3390/app13084738,
2023,On the Performance of LDPC-Coded Large Intelligent Antenna System,10.3390/app13084738,2-s2.0-85156156504
2023,On the Performance of LDPC-Coded Large Intelligent Antenna System,10.3390/app13084738,2-s2.0-85156156504
2023,Nonlinear Effects in NOMA-OFDM Systems: Analytical Signal Characterization and Receiver Design,10.1109/TVT.2022.3221695,
2022,Nonlinear Effects in NOMA-OFDM Systems: Analytical Signal Characterization and Receiver Design,10.1109/TVT.2022.3221695,2-s2.0-85142862362
2023,Nonlinear Effects in NOMA-OFDM Systems: Analytical Signal Characterization and Receiver Design,10.1109/TVT.2022.3221695,2-s2.0-85142862362
2023,Nonlinear Effects in NOMA-OFDM Systems,10.1109/TVT.2022.3221695,2-s2.0-85142862362
2023,A Review on Cell-Free Massive MIMO Systems,10.3390/electronics12041001,
2023,A Review on Cell-Free Massive MIMO Systems,10.3390/electronics12041001,
2023,A Review on Cell-Free Massive MIMO Systems,10.3390/electronics12041001,
2023,Distributed Communication and Sensing System Co-Design for Improved UAV Network Resilience,10.1109/TVT.2022.3206863,
2022,Distributed Communication and Sensing System Co-Design for Improved UAV Network Resilience,10.1109/TVT.2022.3206863,2-s2.0-85139428515
2023,Distributed Communication and Sensing System Co-Design for Improved UAV Network Resilience,10.1109/TVT.2022.3206863,2-s2.0-85139428515
2023,Distributed Communication and Sensing System Co-Design for Improved UAV Network Resilience,10.1109/TVT.2022.3206863,2-s2.0-85139428515
2023,A Least Squares Approach for Estimating Non-linearity Parameters for OFDM Signals with Bussgang Receivers,10.1109/VTC2023-Spring57618.2023.10199316,2-s2.0-85169799661
2023,A Least Squares Approach for Estimating Non-linearity Parameters for OFDM Signals with Bussgang Receivers,10.1109/VTC2023-Spring57618.2023.10199316,2-s2.0-85169799661
2023,Access Point Selection for Spectral Efficiency and Load Balancing Optimization in Radio Stripes,10.1109/LCOMM.2023.3300358,
2023,Access Point Selection for Spectral Efficiency and Load Balancing Optimization in Radio Stripes,10.1109/LCOMM.2023.3300358,2-s2.0-85166768762
2023,Access Point Selection for Spectral Efficiency and Load Balancing Optimization in Radio Stripes,10.1109/LCOMM.2023.3300358,2-s2.0-85166768762
2023,Accurate and Reliable Methods for 5G UAV Jamming Identification With Calibrated Uncertainty,,2-s2.0-85182023112
2023,Accurate and Reliable Methods for 5G UAV Jamming Identification With Calibrated Uncertainty,,2-s2.0-85182023112
2023,Achievable Capacity for Continuous Radio Stripe LOS Communications,10.1109/LCOMM.2023.3306251,
2023,Achievable Capacity for Continuous Radio Stripe LOS Communications,10.1109/LCOMM.2023.3306251,2-s2.0-85168731693
2023,Achievable Capacity for Continuous Radio Stripe LOS Communications,10.1109/LCOMM.2023.3306251,2-s2.0-85168731693
2023,Channel Tracking and Equalization for UAV Communications,10.1007/978-3-031-03880-8_1,2-s2.0-85135580050
2023,Channel Tracking and Equalization for UAV Communications,10.1007/978-3-031-03880-8_1,2-s2.0-85135580050
2023,Channel Tracking and Equalization for UAV Communications,10.1007/978-3-031-03880-8_1,2-s2.0-85135580050
2023,Deep Unfolding of Chebyshev Accelerated Iterative method for Massive MIMO Detection,10.1109/ACCESS.2023.3279350,
2023,Deep Unfolding of Chebyshev Accelerated Iterative method for Massive MIMO Detection,10.1109/ACCESS.2023.3279350,2-s2.0-85161065552
2023,Deep Unfolding of Chebyshev Accelerated Iterative Method for Massive MIMO Detection,10.1109/ACCESS.2023.3279350,2-s2.0-85161065552
2023,Efficient Channel Estimation for LIS-based Systems,10.1109/PIERS59004.2023.10221512,2-s2.0-85172029425
2023,Efficient Channel Estimation for LIS-based Systems,10.1109/PIERS59004.2023.10221512,2-s2.0-85172029425
2023,Integration of Unmanned Aerial Vehicles in Wireless Communication and Networks,10.1007/978-3-031-03880-8,
2023,Integration of Unmanned Aerial Vehicles in Wireless Communication and Networks,10.1007/978-3-031-03880-8,
2023,LDPC assisted GAMP for PAPR reduction in Super-QAM OFDM,10.1109/ICFSP59764.2023.10372912,2-s2.0-85183461642
2023,LDPC assisted GAMP for PAPR reduction in Super-QAM OFDM,10.1109/ICFSP59764.2023.10372912,2-s2.0-85183461642
2023,On the Design of Nonlinear Characteristics That Optimize Maximum Likelihood OFDM Performance,10.1109/TVT.2023.3298384,
2023,On the Design of Nonlinear Characteristics That Optimize Maximum Likelihood OFDM Performance,10.1109/TVT.2023.3298384,2-s2.0-85165911173
2023,On the Design of Nonlinear Characteristics That Optimize Maximum Likelihood OFDM Performance,10.1109/TVT.2023.3298384,2-s2.0-85165911173
2023,On the Feasibility of 5G Carrier Synchronization for Super-QAM Constellations,10.1109/VTC2023-Spring57618.2023.10199745,2-s2.0-85169830747
2023,On the Feasibility of 5G Carrier Synchronization for Super-QAM Constellations,10.1109/VTC2023-Spring57618.2023.10199745,2-s2.0-85169830747
2023,On the Jamming Rejection Features of Near-field Beamforming,10.1109/VTC2023-Spring57618.2023.10199768,2-s2.0-85169829687
2023,On the Jamming Rejection Features of Near-field Beamforming,10.1109/VTC2023-Spring57618.2023.10199768,2-s2.0-85169829687
2023,On the LIS System Performance with and without Equalization,10.1109/PIERS59004.2023.10221448,2-s2.0-85172029150
2023,On the LIS System Performance with and without Equalization,10.1109/PIERS59004.2023.10221448,2-s2.0-85172029150
2023,On the Performance of LDPC Codes over Radio Stripes System,10.1109/PIERS59004.2023.10221509,2-s2.0-85172013773
2023,On the Performance of LDPC Codes over Radio Stripes System,10.1109/PIERS59004.2023.10221509,2-s2.0-85172013773
2023,Physical Layer Spoofing Detection in MIMO SVD Communications,10.1109/MeditCom58224.2023.10266640,2-s2.0-85175194318
2023,Physical Layer Spoofing Detection in MIMO SVD Communications,10.1109/MeditCom58224.2023.10266640,2-s2.0-85175194318
2023,Preface,,2-s2.0-85135564920
2023,Preface,,2-s2.0-85135564920
2023,Reliable Capacity of A2G Drone Communications Using 5G NR,10.1007/978-3-031-03880-8_5,2-s2.0-85135560453
2023,Reliable Capacity of A2G Drone Communications Using 5G NR,10.1007/978-3-031-03880-8_5,2-s2.0-85135560453
2023,Reliable Capacity of A2G Drone Communications Using 5G NR,10.1007/978-3-031-03880-8_5,2-s2.0-85135560453
2023,Transmission Techniques for UAVs,10.1007/978-3-031-03880-8_2,2-s2.0-85135584852
2023,Transmission Techniques for UAVs,10.1007/978-3-031-03880-8_2,2-s2.0-85135584852
2023,Transmission Techniques for UAVs,10.1007/978-3-031-03880-8_2,2-s2.0-85135584852
2022,Potential Optimum Performance of Nonlinearly Distorted MIMO-SVD Systems,10.1109/TVT.2022.3231383,2-s2.0-85146235408
2023,Potential Optimum Performance of Nonlinearly Distorted MIMO-SVD Systems,10.1109/TVT.2022.3231383,
2022,Potential Optimum Performance of Nonlinearly Distorted MIMO-SVD Systems,10.1109/TVT.2022.3231383,2-s2.0-85146235408
2022,"IRS, LIS, and Radio Stripes-Aided Wireless Communications: A Tutorial",10.3390/app122412696,
2022,"IRS, LIS, and Radio Stripes-Aided Wireless Communications: A Tutorial",10.3390/app122412696,
2022,"IRS, LIS, and Radio Stripes-Aided Wireless Communications",10.3390/app122412696,2-s2.0-85144911605
2022,"IRS, LIS, and Radio Stripes-Aided Wireless Communications: A Tutorial",10.3390/app122412696,2-s2.0-85144911605
2022,Hybrid Multiuser Equalizer With Nonlinearity Compensation for Wideband mmWave Massive MIMO Uplink Systems,10.1109/TWC.2022.3183242,
2022,Hybrid Multiuser Equalizer with Nonlinearity Compensation for Wideband mmWave Massive MIMO Uplink Systems,10.1109/TWC.2022.3183242,2-s2.0-85133735000
2022,Hybrid Multiuser Equalizer With Nonlinearity Compensation for Wideband mmWave Massive MIMO Uplink Systems,10.1109/TWC.2022.3183242,2-s2.0-85133735000
2022,Hybrid Multiuser Equalizer With Nonlinearity Compensation for Wideband mmWave Massive MIMO Uplink Systems,10.1109/TWC.2022.3183242,2-s2.0-85133735000
2022,User Pairing and Power Allocation for UAV-NOMA Systems Based on Multi-Armed Bandit Framework,10.1109/TVT.2022.3199606,
2022,User Pairing and Power Allocation for UAV-NOMA Systems Based on Multi-Armed Bandit Framework,10.1109/TVT.2022.3199606,2-s2.0-85136879306
2022,User Pairing and Power Allocation for UAV-NOMA Systems Based on Multi-Armed Bandit Framework,10.1109/TVT.2022.3199606,2-s2.0-85136879306
2022,User Pairing and Power Allocation for UAV-NOMA Systems Based on Multi-Armed Bandit Framework,10.1109/TVT.2022.3199606,2-s2.0-85136879306
2022,Uavnoma: A UAV-NOMA Network Model under Non-Ideal Conditions,10.5334/jors.397,
2022,Uavnoma: A UAV-NOMA Network Model under Non-Ideal Conditions,10.5334/JORS.397,2-s2.0-85142225829
2022,Uavnoma: A UAV-NOMA Network Model under Non-Ideal Conditions,10.5334/jors.397,2-s2.0-85142225829
2022,Uavnoma,10.5334/JORS.397,2-s2.0-85142225829
2022,Distributed Hybrid Equalization for Cooperative Millimeter-Wave Cell-Free Massive MIMO,10.1109/TCOMM.2022.3186980,
2022,Distributed Hybrid Equalization for Cooperative Millimeter-Wave Cell-Free Massive MIMO,10.1109/TCOMM.2022.3186980,2-s2.0-85133608114
2022,Distributed Hybrid Equalization for Cooperative Millimeter-Wave Cell-Free Massive MIMO,10.1109/TCOMM.2022.3186980,2-s2.0-85133608114
2022,Distributed Hybrid Equalization for Cooperative Millimeter-Wave Cell-Free Massive MIMO,10.1109/TCOMM.2022.3186980,2-s2.0-85133608114
2022,A Scalable LDPC Coding Scheme for Adaptive HARQ Techniques,10.1109/vtc2022-spring54318.2022.9860855,2-s2.0-85137821590
2022,A Scalable LDPC Coding Scheme for Adaptive HARQ Techniques,10.1109/VTC2022-Spring54318.2022.9860855,2-s2.0-85137821590
2022,A Scalable LDPC Coding Scheme for Adaptive HARQ Techniques,10.1109/vtc2022-spring54318.2022.9860855,2-s2.0-85137821590
2022,Efficient iterative massive MIMO detection using Chebyshev acceleration,10.1016/j.phycom.2022.101651,2-s2.0-85126011198
2022,Efficient iterative massive MIMO detection using Chebyshev acceleration,10.1016/j.phycom.2022.101651,2-s2.0-85126011198
2022,Efficient iterative massive MIMO detection using Chebyshev acceleration,10.1016/j.phycom.2022.101651,2-s2.0-85126011198
